returnOnEquity,Debt to Equity,PE ratio,Revenue Growth,operatingProfitMargin,Class
0.1638,1.5604,13.3008,0.1115,1.0,1
0.0478,1.1083,23.303,0.032,1.0,1
0.2824,0.3535,10.2691,0.1289,1.0,1
0.4377,0.1436,4.2999,0.4955,1.0,1
-0.7216,3.344,0.0,0.0285,1.0,1
0.1061,1.6454,9.3333,0.0446,1.0,1
0.5556,1.0685,18.9226,0.1586,1.0,1
0.2003,0.989,46.5163,0.1428,1.0,1
-0.6472,-3.7909,21.9615,0.0637,1.0,1
0.0555,1.1011,42.959,0.0793,1.0,0
0.0932,5.8591,15.4318,0.7237,1.0,1
0.1023,4.2918,8.2258,0.0227,1.0,1
0.2662,0.9874,54.2941,0.2326,1.0,1
-0.5434,0.0,0.0,0.4309,1.0,1
0.2628,0.0,17.1359,0.3735,1.0,1
0.1142,1.7069,10.6914,-0.0139,1.0,1
-0.0001,0.6128,0.0,-0.043,1.0,1
0.1052,0.9588,10.014,0.0636,1.0,1
0.092,2.2531,7.7818,0.0057,1.0,1
0.156,0.4497,9.9924,0.0768,1.0,1
0.109,2.4815,8.2432,0.057,1.0,1
0.1197,2.0803,10.7987,0.0827,1.0,1
0.0774,1.3072,53.7011,0.0421,1.0,1
0.1969999999999999,0.3883,60.3361,0.0596,1.0,1
0.1844,0.5916,20.8347,0.0273,1.0,1
0.0568,0.7291,6.36,0.3056,1.0,0
0.1334,1.0916,13.550999999999998,-0.1691,1.0,1
0.1759,0.6583,22.9737,0.021,1.0,0
-0.0417,0.2412,0.0,0.2209,1.0,1
-0.0362,0.3083,0.0,-0.0667,1.0,0
0.1771,0.3998,17.9625,0.2452,1.0,1
0.4599,0.6562,7.5039,0.1821,1.0,1
0.484,0.7756,9.5168,0.1868,1.0,1
0.0097,0.0626,196.5,0.0532,1.0,1
0.1087,0.1971,13.9734,0.1876,1.0,1
0.1233,0.3846,11.7243,0.1099,1.0,1
0.3105,2.7601,12.0202,0.0841,1.0,1
0.3507,0.5238,17.2691,0.0859,1.0,1
0.3029,0.489,34.0384,0.1226,1.0,1
-0.0291,0.529,0.0,-0.0728,1.0,0
-0.152,0.0,0.0,0.0009,1.0,1
0.1197,0.9359,8.5434,0.0252,1.0,1
0.1123,0.9294,8.6323,0.0325,1.0,1
0.2751,2.2492,13.4929,0.0635,1.0,1
0.1739,1.083,14.0635,0.1637,1.0,0
0.1752,0.3432,44.799,0.7238,1.0,1
0.0904,0.4534,11.0308,0.3813,1.0,0
0.2551,1.2775,14.8929,-0.1524,1.0,1
0.2062,2.7007,5.9626,0.01,1.0,1
0.2656,1.1371,5.7598,0.1356,1.0,1
0.0347,0.1658,227.82,0.2493,1.0,1
0.1591,0.2345,19.5672,0.0688,1.0,1
-0.0343,0.9359,0.0,0.4895,1.0,1
0.2411,0.4382,6.9637,0.2377,1.0,1
0.2273,0.9814,3.6667,0.2057,1.0,0
0.5869,2.8938,24.8166,0.0554,1.0,1
0.5893,2.1184,2.1691,-0.061,1.0,1
0.0387,2.1406,7.0909,-0.0409999999999999,1.0,1
0.0591,0.4439,23.4286,0.078,1.0,1
0.142,0.9742,19.7407,0.0661,1.0,1
0.228,0.0,10.7955,0.0234,1.0,0
-0.6733,-4.7727,25.1199,0.1608,1.0,1
0.347,2.5759,11.5122,0.0077,1.0,1
0.2922,2.1274,14.9521,0.0383,1.0,1
0.0721,1.045,14.1143,-0.0424,1.0,1
-0.1532,0.0,0.0,0.0843,1.0,0
0.2653,0.5666,2.8906,0.1574,1.0,0
-0.812,4.3482,0.0,-0.0751,1.0,1
-0.0874,1.8187,0.0,0.3278,1.0,0
-0.2587,-1.8063,12.0853,0.0317,1.0,0
0.3336,0.4849,3.671,0.2091,1.0,1
0.0697,2.0736,22.1771,0.0465,1.0,1
0.079,0.7825,11.0093,0.2884,1.0,1
-0.635,-2.5491,13.1417,0.0221,1.0,1
0.1737,0.319,5.7809,0.0421,1.0,1
0.3789,2.6037,31.3576,-0.1004,1.0,1
0.0471,0.7333,25.1786,0.0322,1.0,1
0.1959,0.4686,11.6325,0.1885,1.0,1
0.4173,3.6912,2.4706,0.0774,1.0,0
0.2583,0.428,13.8381,0.0779,1.0,1
0.1163,0.5859,7.826,0.6267,1.0,1
0.0959,0.223,13.9296,0.1737,1.0,1
